STATION X(m) Y(m) Z(m) v(X)m/a v(Y)m/a v(Z)m/a EPOCA σ_X(m) σ_Y(m) σ_Z(m) σ_vX(m) σ_vY(m) σ_vZ(m)
RVRD_GPS 1174706.43147 -6267955.81719 118045.83600 0.01634 0.00063 0.01433 2011.000 0.0007 0.0022 0.0004 0.00090 0.00240 0.00050
S031_GPS 2745499.06509 -4483636.55896 -3599054.42601 0.00302 -0.00471 0.00974 2011.000 0.0023 0.0036 0.0030 0.00050 0.00070 0.00060
SABA_GPS 1082557.67595 -6282352.83808 -203529.68214 0.00223 0.01099 0.01092 2011.000 0.0339 0.0548 0.0145 0.00080 0.00290 0.00050
SACH_GPS 1276850.82109 -6252888.06066 -71341.37944 0.00386 -0.00129 0.01015 2011.000 0.0005 0.0017 0.0002 0.00080 0.00180 0.00040
SALN_GPS 998058.98315 -6294989.81106 -241683.61486 0.00863 0.00200 0.01225 2011.000 0.0005 0.0018 0.0003 0.00110 0.00270 0.00080
SALU_GPS 4566947.87438 -4443098.51751 -286674.66541 -0.00414 -0.00197 0.01286 2011.000 0.0013 0.0013 0.0006 0.00150 0.00150 0.00110
SALY_GPS 1206945.36676 -6196599.68706 -906695.96643 -0.00035 -0.00158 0.00671 2011.000 0.0020 0.0033 0.0009 0.00180 0.00410 0.00100
SANA_GPS 895798.99023 -6162595.00608 1374026.30343 0.01454 0.00267 0.00959 2011.000 0.0051 0.0143 0.0049 0.00250 0.01040 0.00290
SANL_GPS 1235438.79813 -6255768.13214 141687.28163 0.00679 0.01443 0.00872 2011.000 0.0053 0.0192 0.0033 0.00450 0.01690 0.00250
SANT_GPS 1769693.62644 -5044574.18129 -3468320.86225 0.02069 -0.00354 0.01199 2011.000 0.0085 0.0096 0.0076 0.00060 0.00080 0.00060
SAVO_GPS 4870283.74360 -3864605.31756 -1418872.47983 -0.00019 -0.00541 0.01360 2011.000 0.0019 0.0015 0.0009 0.00200 0.00160 0.00090
SBAR_GPS 1378283.32980 -6229799.24695 71487.92241 -0.00056 0.00577 0.01246 2011.000 0.0055 0.0175 0.0033 0.00080 0.00250 0.00040
SCHA_GPS 1444310.76207 -6212704.12724 -36097.90671 -0.00793 0.00981 0.00913 2011.000 0.0137 0.0321 0.0064 0.00280 0.00680 0.00130
SCUB_2PS 1474538.05673 -5811243.26336 2168958.84928 -0.00638 0.00103 0.00434 2011.000 0.0005 0.0015 0.0006 0.00040 0.00130 0.00060
SEVG_GPS 1103684.42903 -6281112.97076 -107676.79313 0.00610 0.00153 0.00968 2011.000 0.0011 0.0041 0.0008 0.00180 0.00720 0.00150
SFCO_GPS 1249432.46225 -6253463.02915 120683.46659 0.00560 0.00975 0.01341 2011.000 0.0060 0.0208 0.0038 0.00460 0.01710 0.00260
SIBU_GPS 1441097.40984 -6213947.38839 132475.57295 0.00125 0.01326 0.01276 2011.000 0.0075 0.0218 0.0046 0.00570 0.01900 0.00300
SLOR_GPS 277529.00967 -6198801.78440 1471065.65420 0.00646 0.00350 0.00573 2011.000 0.0035 0.0105 0.0037 0.00200 0.01230 0.00340
SLRZ_GPS 1380772.63924 -6083088.66638 -1326220.34297 0.02223 -0.00245 0.01292 2011.000 0.0007 0.0018 0.0005 0.00180 0.00410 0.00150
SNLR_GPS 1233412.56307 -6256121.71866 142907.63440 0.01073 -0.00154 0.00893 2011.000 0.0006 0.0023 0.0004 0.00130 0.00450 0.00130
SNTI_GPS 1323179.41190 -6230532.01678 -337061.15751 -0.00026 -0.00264 0.00678 2011.000 0.0068 0.0195 0.0034 0.00110 0.00230 0.00050
SOZO_GPS 1127380.13814 -6260958.36628 -478884.85385 -0.00141 -0.00144 0.00689 2011.000 0.0038 0.0140 0.0024 0.00100 0.00210 0.00050
SRAM_GPS 1155634.28171 -6272347.41972 -67447.27221 0.00760 0.00423 0.01122 2011.000 0.0055 0.0200 0.0035 0.00330 0.01230 0.00190
SROQ_GPS 1518830.87758 -6194692.59143 -50177.77825 -0.00085 -0.02519 0.01288 2011.000 0.0086 0.0252 0.0052 0.00310 0.00790 0.00190
SSIA_4PS 95567.03869 -6197785.57351 1500590.58537 0.00740 0.00299 0.00782 2011.000 0.0005 0.0025 0.0010 0.00030 0.00150 0.00060
STAA_GPS 1064869.70816 -6287318.59788 -130769.78272 0.00395 0.00046 0.01207 2011.000 0.0027 0.0099 0.0018 0.00070 0.00190 0.00040
TAMB_GPS 1283160.32310 -6251690.68151 -76036.67611 0.00378 -0.00240 0.01034 2011.000 0.0006 0.0019 0.0003 0.00070 0.00180 0.00030
TAMI_GPS 1395589.80282 -6222318.45475 175544.96840 0.00002 0.00202 0.01529 2011.000 0.0076 0.0217 0.0045 0.00560 0.01840 0.00280
TEBA_GPS 1563658.27680 -6165105.97261 491129.40044 -0.00345 0.01410 0.01750 2011.000 0.0081 0.0222 0.0050 0.00660 0.02040 0.00360
TETE_GPS 1485449.07487 -6203026.48775 19560.69608 0.00423 0.03320 0.01019 2011.000 0.0098 0.0224 0.0048 0.00630 0.01050 0.00180
TIPI_GPS 1520829.68449 -6194390.64898 21586.65300 -0.02071 0.02190 0.00987 2011.000 0.0140 0.0307 0.0064 0.00680 0.01430 0.00280
TOLA_GPS 1211778.78372 -6260546.69987 133814.37872 0.00908 0.01304 0.01054 2011.000 0.0037 0.0123 0.0025 0.00060 0.00200 0.00040
TORR_GPS 1202278.03286 -6262084.60622 -230702.45838 0.00235 0.00518 0.01027 2011.000 0.0044 0.0173 0.0027 0.00060 0.00210 0.00040
TOTO_GPS 1252505.86154 -6252757.32874 -249641.15949 0.00065 0.00027 0.00678 2011.000 0.0030 0.0106 0.0019 0.00050 0.00150 0.00030
TUCU_GPS 2386117.18245 -5171223.27337 -2862949.04888 0.00213 0.00023 0.00974 2011.000 0.0056 0.0093 0.0073 0.00080 0.00130 0.00100
TULC_GPS 1358654.21291 -6234130.63715 89827.59273 0.00251 0.00180 0.01218 2011.000 0.0033 0.0105 0.0021 0.00070 0.00230 0.00040
TUM1_GPS 1243246.81138 -6252583.91170 200291.58557 0.00636 0.01099 0.01476 2011.000 0.0054 0.0154 0.0039 0.00250 0.00970 0.00150
TUMA_GPS 1243245.79763 -6252584.96781 200266.57966 0.00636 0.01099 0.01476 2011.000 0.0055 0.0164 0.0039 0.00250 0.00970 0.00150
TURI_GPS 1263890.97114 -6254888.11682 -40699.59667 0.01183 -0.00930 0.01032 2011.000 0.0063 0.0210 0.0038 0.00340 0.01220 0.00190
UFPR_GPS 3763751.67039 -4365113.86995 -2724404.57658 0.00125 -0.00674 0.01085 2011.000 0.0010 0.0012 0.0008 0.00060 0.00070 0.00040
UNGU_GPS 1266063.34718 -6254832.19455 -26259.67763 0.00692 0.00261 0.01036 2011.000 0.0046 0.0180 0.0027 0.00080 0.00290 0.00050
UNSA_GPS 2412830.46226 -5271936.73880 -2652208.96485 0.00526 -0.00247 0.01100 2011.000 0.0024 0.0040 0.0026 0.00050 0.00090 0.00050
VALP_GPS 1687310.45155 -5079964.53005 -3456509.20665 0.02368 -0.00571 0.02931 2011.000 0.0022 0.0030 0.0027 0.00140 0.00230 0.00190
VDUP_GPS 1808218.15418 -6007045.10016 1148648.50933 0.00755 0.00071 0.01636 2011.000 0.0066 0.0160 0.0049 0.00400 0.01180 0.00280
VILM_GPS 1819820.51423 -6096710.78974 449202.12767 -0.00380 0.00164 0.01122 2011.000 0.0059 0.0137 0.0039 0.00300 0.00870 0.00150
YAUS_GPS 1245686.47776 -6251910.26468 -297651.23029 -0.00013 0.00663 0.00777 2011.000 0.0051 0.0172 0.0032 0.00070 0.00240 0.00040
YOPA_GPS 1921358.06868 -6053533.83190 587877.41464 -0.00529 -0.00548 0.01379 2011.000 0.0075 0.0185 0.0045 0.00540 0.01500 0.00270
ZAGR_GPS 1259566.22292 -6252744.57969 -211006.08511 -0.04801 0.23507 0.01554 2011.000 0.0093 0.0256 0.0051 0.00410 0.01160 0.00190
ZAMO_GPS 1221570.86618 -6244846.71793 -448051.28026 0.00073 -0.00404 0.00724 2011.000 0.0027 0.0090 0.0019 0.00040 0.00140 0.00030
ZHUD_GPS 1215792.88373 -6258150.93040 -272196.40862 0.00057 0.00397 0.00757 2011.000 0.0035 0.0126 0.0023 0.00060 0.00200 0.00040
